File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,30,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\UserControls\ConsoleHyperLink.cs,52,43,30,0,8,0,1,3,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\UserControls\ConsoleLine.cs,79,62,39,3,14,0,3,10,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\UserControls\ConsolePanel.cs,124,95,59,8,26,0,3,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\HomePanel.cs,46,38,26,0,7,0,1,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\HomePanel.Designer.cs,175,125,113,1,6,0,44,65,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\InventoryManager.cs,57,40,24,4,7,0,10,29,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\ListViewColumnSorter.cs,86,64,38,6,10,0,12,90,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Program.cs,23,18,11,0,2,0,3,12,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Controls\ListViewWithSearch.cs,262,169,108,14,45,0,48,184,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Controls\ListViewWithSearch.Designer.cs,156,109,97,1,6,0,41,64,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryWin\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
